Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,Purple,True,0.5,Bug,,False,1.09,64.8,60,two_wings
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,Grey,True,0.5,Mineral,,True,9.19,400.0,25,serpentine_body
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,Pink,True,0.25,Field,Fairy,False,0.61,7.8,190,bipedal_tailless
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,Purple,True,0.25,Field,Fairy,False,1.40,48.7,75,bipedal_tailed
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,Grey,True,0.5,Water_2,,False,0.51,3.9,45,with_fins
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,Red,True,0.5,Bug,,True,1.80,118.0,25,four_wings
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,Yellow,True,0.5,Bug,,False,0.61,20.5,190,insectoid
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,Blue,True,0.5,Bug,,True,1.50,54.0,45,bipedal_tailless
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,Black,True,0.5,Field,,False,0.89,28.0,60,bipedal_tailed
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,Brown,True,0.5,Field,,False,0.61,8.8,120,bipedal_tailed
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,Brown,True,0.5,Field,,False,1.80,125.8,60,bipedal_tailed
218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,Red,True,0.5,Amorphous,,False,0.71,35.0,190,serpentine_body
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,Red,True,0.5,Amorphous,,False,0.79,55.0,75,serpentine_body
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,Brown,True,0.5,Field,,False,0.41,6.5,225,quadruped
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,Brown,True,0.5,Field,,False,1.09,55.8,75,quadruped
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,Pink,True,0.25,Water_1,Water_3,False,0.61,5.0,60,insectoid
223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,Grey,True,0.5,Water_1,Water_2,False,0.61,12.0,190,with_fins
224,Octillery,Water,,480,75,105,75,105,75,45,2,False,Red,True,0.5,Water_1,Water_2,False,0.89,28.5,75,several_limbs
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,Red,True,0.5,Water_1,Field,False,0.89,16.0,45,two_wings
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,Purple,True,0.5,Water_1,,False,2.11,220.0,25,two_wings
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,Grey,True,0.5,Flying,,False,1.70,50.5,25,two_wings
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,Black,True,0.5,Field,,False,0.61,10.8,120,quadruped
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,Black,True,0.5,Field,,True,1.40,35.0,45,quadruped
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,Blue,True,0.5,Water_1,Dragon,False,1.80,152.0,45,head_base
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,Blue,True,0.5,Field,,False,0.51,33.5,120,quadruped
232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,Grey,True,0.5,Field,,False,1.09,120.0,60,quadruped
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,Red,False,,Mineral,,False,0.61,32.5,45,head_legs
234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,Brown,True,0.5,Field,,False,1.40,71.2,45,quadruped
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,White,True,0.5,Field,,False,1.19,58.0,45,bipedal_tailed
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,Purple,True,1,Undiscovered,,False,0.71,21.0,75,bipedal_tailless
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,Brown,True,1,Human-Like,,False,1.40,48.0,45,bipedal_tailed
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,Pink,True,0,Undiscovered,,False,0.41,6.0,45,bipedal_tailless
239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,Yellow,True,0.75,Undiscovered,,False,0.61,23.5,45,bipedal_tailless
240,Magby,Fire,,365,45,75,37,70,55,83,2,False,Red,True,0.75,Undiscovered,,False,0.71,21.4,45,bipedal_tailed
241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,Pink,True,0,Field,,False,1.19,75.5,45,bipedal_tailed
242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,Pink,True,0,Fairy,,False,1.50,46.8,30,bipedal_tailless
243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,Yellow,False,,Undiscovered,,False,1.91,178.0,3,quadruped
244,Entei,Fire,,580,115,115,85,90,75,100,2,True,Brown,False,,Undiscovered,,False,2.11,198.0,3,quadruped
245,Suicune,Water,,580,100,75,115,90,115,85,2,True,Blue,False,,Undiscovered,,False,2.01,187.0,3,quadruped
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,Green,True,0.5,Monster,,False,0.61,72.0,45,bipedal_tailed
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,Grey,True,0.5,Monster,,False,1.19,152.0,45,serpentine_body
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,Green,True,0.5,Monster,,True,2.01,202.0,45,bipedal_tailed
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,White,False,,Undiscovered,,False,5.21,216.0,3,two_wings
250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,True,Red,False,,Undiscovered,,False,3.81,199.0,3,two_wings
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,Green,False,,Undiscovered,,False,0.61,5.0,45,bipedal_tailless
252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,Green,True,0.875,Monster,Dragon,False,0.51,5.0,45,bipedal_tailed
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,Green,True,0.875,Monster,Dragon,False,0.89,21.6,45,bipedal_tailed
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,Green,True,0.875,Monster,Dragon,True,1.70,52.2,45,bipedal_tailed
255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,Red,True,0.875,Field,,False,0.41,2.5,45,head_legs
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,Red,True,0.875,Field,,False,0.89,19.5,45,bipedal_tailed
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,Red,True,0.875,Field,,True,1.91,52.0,45,bipedal_tailed
258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,Blue,True,0.875,Monster,Water_1,False,0.41,7.6,45,quadruped
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,Blue,True,0.875,Monster,Water_1,False,0.71,28.0,45,bipedal_tailed
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,Blue,True,0.875,Monster,Water_1,True,1.50,81.9,45,bipedal_tailed
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,Grey,True,0.5,Field,,False,0.51,13.6,255,quadruped
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,Grey,True,0.5,Field,,False,0.99,37.0,127,quadruped
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,Brown,True,0.5,Field,,False,0.41,17.5,255,quadruped
264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,White,True,0.5,Field,,False,0.51,32.5,90,quadruped
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,Red,True,0.5,Bug,,False,0.30,3.6,255,serpentine_body
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,White,True,0.5,Bug,,False,0.61,10.0,120,head_only
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,Yellow,True,0.5,Bug,,False,0.99,28.4,45,four_wings
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,Purple,True,0.5,Bug,,False,0.71,11.5,120,head_only
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,Green,True,0.5,Bug,,False,1.19,31.6,45,four_wings
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,Green,True,0.5,Water_1,Grass,False,0.51,2.6,255,insectoid
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,Green,True,0.5,Water_1,Grass,False,1.19,32.5,120,bipedal_tailless
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,Green,True,0.5,Water_1,Grass,False,1.50,55.0,45,bipedal_tailless
273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,Brown,True,0.5,Field,Grass,False,0.51,4.0,255,head_legs
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,Brown,True,0.5,Field,Grass,False,0.99,28.0,120,bipedal_tailless
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,Brown,True,0.5,Field,Grass,False,1.30,59.6,45,bipedal_tailless
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,Blue,True,0.5,Flying,,False,0.30,2.3,200,two_wings
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,Blue,True,0.5,Flying,,False,0.71,19.8,45,two_wings
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,White,True,0.5,Water_1,Flying,False,0.61,9.5,190,two_wings
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,Yellow,True,0.5,Water_1,Flying,False,1.19,28.0,45,two_wings
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,White,True,0.5,Amorphous,,False,0.41,6.6,235,bipedal_tailless
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,White,True,0.5,Amorphous,,False,0.79,20.2,120,bipedal_tailless
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,White,True,0.5,Amorphous,,True,1.60,48.4,45,bipedal_tailless
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,Blue,True,0.5,Water_1,Bug,False,0.51,1.7,200,insectoid
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,Blue,True,0.5,Water_1,Bug,False,0.79,3.6,75,four_wings
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,Brown,True,0.5,Fairy,Grass,False,0.41,4.5,255,head_legs
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,Green,True,0.5,Fairy,Grass,False,1.19,39.2,90,bipedal_tailed
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,Brown,True,0.5,Field,,False,0.79,24.0,255,quadruped
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,White,True,0.5,Field,,False,1.40,46.5,120,bipedal_tailed
289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,Brown,True,0.5,Field,,False,2.01,130.5,45,bipedal_tailless
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,Grey,True,0.5,Bug,,False,0.51,5.5,255,insectoid
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,Yellow,True,0.5,Bug,,False,0.79,12.0,120,four_wings
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,Brown,False,,Mineral,,False,0.79,1.2,45,head_base
293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,Pink,True,0.5,Monster,Field,False,0.61,16.3,190,bipedal_tailed
294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,Blue,True,0.5,Monster,Field,False,0.99,40.5,120,bipedal_tailed
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,Blue,True,0.5,Monster,Field,False,1.50,84.0,45,bipedal_tailed
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,Yellow,True,0.75,Human-Like,,False,0.99,86.4,180,bipedal_tailless
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,Brown,True,0.75,Human-Like,,False,2.31,253.8,200,bipedal_tailless
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,Blue,True,0.25,Undiscovered,,False,0.20,2.0,150,head_legs
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,Grey,True,0.5,Mineral,,False,0.99,97.0,255,bipedal_tailless
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,Pink,True,0.25,Field,Fairy,False,0.61,11.0,255,quadruped
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,Purple,True,0.25,Field,Fairy,False,1.09,32.6,60,quadruped
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,Purple,True,0.5,Human-Like,,True,0.51,11.0,45,bipedal_tailless
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,Black,True,0.5,Field,Fairy,True,0.61,11.5,45,bipedal_tailless
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,Grey,True,0.5,Monster,,False,0.41,60.0,180,quadruped
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,Grey,True,0.5,Monster,,False,0.89,120.0,90,quadruped
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,Grey,True,0.5,Monster,,True,2.11,360.0,45,bipedal_tailed
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,Blue,True,0.5,Human-Like,,False,0.61,11.2,180,bipedal_tailless
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,Red,True,0.5,Human-Like,,True,1.30,31.5,90,bipedal_tailless
309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,Green,True,0.5,Field,,False,0.61,15.2,120,quadruped
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,Yellow,True,0.5,Field,,True,1.50,40.2,45,quadruped
311,Plusle,Electric,,405,60,50,40,85,75,95,3,False,Yellow,True,0.5,Fairy,,False,0.41,4.2,200,bipedal_tailed
312,Minun,Electric,,405,60,40,50,75,85,95,3,False,Yellow,True,0.5,Fairy,,False,0.41,4.2,200,bipedal_tailed
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False,Grey,True,1,Bug,Human-Like,False,0.71,17.7,150,bipedal_tailed
314,Illumise,Bug,,400,65,47,55,73,75,85,3,False,Purple,True,0,Bug,Human-Like,False,0.61,17.7,150,bipedal_tailless
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,Green,True,0.5,Fairy,Grass,False,0.30,2.0,150,bipedal_tailless
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,Green,True,0.5,Amorphous,,False,0.41,10.3,225,head_arms
317,Swalot,Poison,,467,100,73,83,73,83,55,3,False,Purple,True,0.5,Amorphous,,False,1.70,80.0,75,head_arms
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,Red,True,0.5,Water_2,,False,0.79,20.8,225,with_fins
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,Blue,True,0.5,Water_2,,True,1.80,88.8,60,with_fins
320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,Blue,True,0.5,Field,Water_2,False,2.01,130.0,125,with_fins
321,Wailord,Water,,500,170,90,45,90,45,60,3,False,Blue,True,0.5,Field,Water_2,False,14.50,398.0,60,with_fins
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,Yellow,True,0.5,Field,,False,0.71,24.0,255,quadruped
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,Red,True,0.5,Field,,True,1.91,220.0,150,quadruped
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,Brown,True,0.5,Field,,False,0.51,80.4,90,quadruped
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,Black,True,0.5,Field,,False,0.71,30.6,255,head_arms
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,Purple,True,0.5,Field,,False,0.89,71.5,60,bipedal_tailed
327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,Brown,True,0.5,Field,Human-Like,False,1.09,5.0,255,bipedal_tailed
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,Brown,True,0.5,Bug,,False,0.71,15.0,255,insectoid
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,Green,True,0.5,Bug,,False,1.09,15.3,120,four_wings
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,Green,True,0.5,Bug,,False,2.01,82.0,45,two_wings
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,Green,True,0.5,Grass,Human-Like,False,0.41,51.3,190,bipedal_tailless
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,Green,True,0.5,Grass,Human-Like,False,1.30,77.4,60,bipedal_tailless
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,Blue,True,0.5,Flying,Dragon,False,0.41,1.2,255,two_wings
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,Blue,True,0.5,Flying,Dragon,True,1.09,20.6,45,two_wings
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,White,True,0.5,Field,,False,1.30,40.3,90,bipedal_tailed
336,Seviper,Poison,,458,73,100,60,100,60,65,3,False,Black,True,0.5,Field,Dragon,False,2.69,52.5,90,serpentine_body
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,Yellow,False,,Mineral,,False,0.99,168.0,45,head_only
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,Red,False,,Mineral,,False,1.19,154.0,45,head_only
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,Grey,True,0.5,Water_2,,False,0.41,1.9,190,with_fins
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,Blue,True,0.5,Water_2,,False,0.89,23.6,75,with_fins
341,Corphish,Water,,308,43,80,65,50,35,35,3,False,Red,True,0.5,Water_1,Water_3,False,0.61,11.5,205,insectoid
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,Red,True,0.5,Water_1,Water_3,False,1.09,32.8,155,insectoid
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,Brown,False,,Mineral,,False,0.51,21.5,255,head_arms
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,Black,False,,Mineral,,False,1.50,108.0,90,head_arms
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,Purple,True,0.875,Water_3,,False,0.99,23.8,45,head_base
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,Green,True,0.875,Water_3,,False,1.50,60.4,45,head_base
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,Grey,True,0.875,Water_3,,False,0.71,12.5,45,insectoid
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,Grey,True,0.875,Water_3,,False,1.50,68.2,45,bipedal_tailed
349,Feebas,Water,,200,20,15,20,10,55,80,3,False,Brown,True,0.5,Water_1,Dragon,False,0.61,7.4,255,with_fins
350,Milotic,Water,,540,95,60,79,100,125,81,3,False,Pink,True,0.5,Water_1,Dragon,False,6.20,162.0,60,serpentine_body
351,Castform,Normal,,420,70,70,70,70,70,70,3,False,White,True,0.5,Fairy,Amorphous,False,0.30,0.8,45,head_only
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,Green,True,0.5,Field,,False,0.99,22.0,200,bipedal_tailed
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,Black,True,0.5,Amorphous,,False,0.61,2.3,225,head_only
354,Banette,Ghost,,455,64,115,65,83,63,65,3,False,Black,True,0.5,Amorphous,,True,1.09,12.5,45,bipedal_tailed
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,Black,True,0.5,Amorphous,,False,0.79,15.0,190,head_arms
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,Black,True,0.5,Amorphous,,False,1.60,30.6,90,bipedal_tailless
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,Green,True,0.5,Monster,Grass,False,2.01,100.0,200,quadruped
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,False,Blue,True,0.5,Amorphous,,False,0.61,1.0,45,head_arms
359,Absol,Dark,,465,65,130,60,75,60,75,3,False,White,True,0.5,Field,,True,1.19,47.0,30,quadruped
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,Blue,True,0.5,Undiscovered,,False,0.61,14.0,125,bipedal_tailed
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,Grey,True,0.5,Fairy,Mineral,False,0.71,16.8,190,bipedal_tailless
362,Glalie,Ice,,480,80,80,80,80,80,80,3,False,Grey,True,0.5,Fairy,Mineral,True,1.50,256.5,75,head_only
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,Blue,True,0.5,Water_1,Field,False,0.79,39.5,255,with_fins
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,Blue,True,0.5,Water_1,Field,False,1.09,87.6,120,with_fins
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,Blue,True,0.5,Water_1,Field,False,1.40,150.6,45,quadruped
366,Clamperl,Water,,345,35,64,85,74,55,32,3,False,Blue,True,0.5,Water_1,,False,0.41,52.5,255,head_only
367,Huntail,Water,,485,55,104,105,94,75,52,3,False,Blue,True,0.5,Water_1,,False,1.70,27.0,60,serpentine_body
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False,Pink,True,0.5,Water_1,,False,1.80,22.6,60,serpentine_body
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,Grey,True,0.875,Water_1,Water_2,False,0.99,23.4,25,with_fins
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,False,Pink,True,0.25,Water_2,,False,0.61,8.7,225,with_fins
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False,Blue,True,0.5,Dragon,,False,0.61,42.1,45,bipedal_tailless
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False,White,True,0.5,Dragon,,False,1.09,110.5,45,quadruped
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,Blue,True,0.5,Dragon,,True,1.50,102.6,45,quadruped
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False,Blue,False,,Mineral,,False,0.61,95.2,3,head_base
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False,Blue,False,,Mineral,,False,1.19,202.5,3,head_arms
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False,Blue,False,,Mineral,,True,1.60,550.0,3,multiple_bodies
377,Regirock,Rock,,580,80,100,200,50,100,50,3,True,Brown,False,,Undiscovered,,False,1.70,230.0,3,bipedal_tailless
378,Regice,Ice,,580,80,50,100,100,200,50,3,True,Blue,False,,Undiscovered,,False,1.80,175.0,3,bipedal_tailless
379,Registeel,Steel,,580,80,75,150,75,150,50,3,True,Grey,False,,Undiscovered,,False,1.91,205.0,3,bipedal_tailless
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,Red,True,0,Undiscovered,,True,1.40,40.0,3,two_wings
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,Blue,True,1,Undiscovered,,True,2.01,60.0,3,two_wings
382,Kyogre,Water,,670,100,100,90,150,140,90,3,True,Blue,False,,Undiscovered,,False,4.50,352.0,3,with_fins
383,Groudon,Ground,,670,100,150,140,100,90,90,3,True,Red,False,,Undiscovered,,False,3.51,950.0,3,bipedal_tailed
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,Green,False,,Undiscovered,,True,7.01,206.5,45,serpentine_body
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True,Yellow,False,,Undiscovered,,False,0.30,1.1,3,bipedal_tailless
386,Deoxys,Psychic,,600,50,150,50,150,50,150,3,True,Red,False,,Undiscovered,,False,1.70,60.8,3,bipedal_tailless
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False,Green,True,0.875,Monster,Grass,False,0.41,10.2,45,quadruped
388,Grotle,Grass,,405,75,89,85,55,65,36,4,False,Green,True,0.875,Monster,Grass,False,1.09,97.0,45,quadruped
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False,Green,True,0.875,Monster,Grass,False,2.21,310.0,45,quadruped
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False,Brown,True,0.875,Field,Human-Like,False,0.51,6.2,45,bipedal_tailed
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,Brown,True,0.875,Field,Human-Like,False,0.89,22.0,45,bipedal_tailed
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,Brown,True,0.875,Field,Human-Like,False,1.19,55.0,45,bipedal_tailed
393,Piplup,Water,,314,53,51,53,61,56,40,4,False,Blue,True,0.875,Water_1,Field,False,0.41,5.2,45,bipedal_tailless
394,Prinplup,Water,,405,64,66,68,81,76,50,4,False,Blue,True,0.875,Water_1,Field,False,0.79,23.0,45,bipedal_tailed
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,Blue,True,0.875,Water_1,Field,False,1.70,84.5,45,bipedal_tailed
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,Brown,True,0.5,Flying,,False,0.30,2.0,255,two_wings
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,Brown,True,0.5,Flying,,False,0.61,15.5,120,two_wings
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,Brown,True,0.5,Flying,,False,1.19,24.9,45,two_wings
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False,Brown,True,0.5,Water_1,Field,False,0.51,20.0,255,quadruped
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,Brown,True,0.5,Water_1,Field,False,0.99,31.5,127,bipedal_tailed
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False,Red,True,0.5,Bug,,False,0.30,2.2,255,bipedal_tailless
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False,Red,True,0.5,Bug,,False,0.99,25.5,45,four_wings
403,Shinx,Electric,,263,45,65,34,40,34,45,4,False,Blue,True,0.5,Field,,False,0.51,9.5,235,quadruped
404,Luxio,Electric,,363,60,85,49,60,49,60,4,False,Blue,True,0.5,Field,,False,0.89,30.5,120,quadruped
405,Luxray,Electric,,523,80,120,79,95,79,70,4,False,Blue,True,0.5,Field,,False,1.40,42.0,45,quadruped
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,False,Green,True,0.5,Undiscovered,,False,0.20,1.2,255,bipedal_tailless
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False,Green,True,0.5,Fairy,Grass,False,0.89,14.5,75,bipedal_tailless
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False,Blue,True,0.875,Monster,,False,0.89,31.5,45,bipedal_tailed
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False,Blue,True,0.875,Monster,,False,1.60,102.5,45,bipedal_tailed
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False,Grey,True,0.875,Monster,,False,0.51,57.0,45,quadruped
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False,Grey,True,0.875,Monster,,False,1.30,149.5,45,quadruped
412,Burmy,Bug,,224,40,29,45,29,45,36,4,False,Grey,True,0.5,Bug,,False,0.20,3.4,120,head_base
413,Wormadam,Bug,Grass,424,60,59,85,79,105,36,4,False,Grey,True,0,Bug,,False,0.51,6.5,45,head_base
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False,Yellow,True,1,Bug,,False,0.89,23.3,45,four_wings
